AccelerometerX,AccelerometerY,AccelerometerZ,GyroscopeX,GyroscopeY,GyroscopeZ,Trigger
-1854,-1465,170,-38,259,216,0
-1917,-1586,195,-81,262,52,0
-2232,-1658,336,-89,339,-125,0
-2434,-1809,397,-33,714,-247,0
-2377,-2132,352,48,601,-418,0
-2257,-2349,504,152,117,-678,0
-2109,-2341,661,280,-697,-1023,0
-1903,-2098,668,412,-551,-1396,0
-1738,-1961,367,508,-669,-1790,0
-1537,-2075,149,485,-809,-2149,0
-1665,-2053,126,393,-253,-2418,0
-1273,-2009,-36,291,388,-2637,0
-833,-2029,-158,145,269,-2938,0
-925,-2002,1,2,166,-3226,0
-1148,-1960,44,-102,452,-3366,0
-1228,-1979,44,-177,559,-3372,0
-1144,-2002,116,-222,557,-3291,0
-1037,-1990,213,-229,714,-3148,0
-953,-1956,212,-206,946,-2965,0
-855,-1850,176,-175,1127,-2765,0
-762,-1780,195,-136,1187,-2566,0
-667,-1745,235,-78,1191,-2370,0
-561,-1684,276,-3,1064,-2178,0
-458,-1559,295,87,1079,-1976,0
-461,-1437,318,188,1024,-1750,0
-564,-1351,277,278,814,-1463,0
-571,-1305,252,333,593,-1123,0
-484,-1250,215,359,346,-764,0
-468,-1199,188,362,133,-397,0
-513,-1154,118,349,-43,-1,0
-520,-1144,57,321,-202,429,0
-429,-1138,-53,278,-151,882,0
-502,-1140,-106,228,95,1343,0
-842,-1086,-184,171,349,1857,0
-1362,-861,-361,77,334,2424,1
-1825,-920,-264,-48,105,3087,1
-2082,-1127,-31,-209,14,3903,1
-2761,-1175,-28,-415,10,4898,1
-3323,-1133,-247,-716,-168,6069,1
-3506,-1286,-196,-1043,-184,7243,1
-2718,-1451,344,-1177,-366,7983,1
-1754,-1411,1137,-876,-934,7961,1
-1693,-1279,1427,-164,-1607,7428,1
-1678,-1052,1098,568,-2595,6684,1
-1480,-814,474,1064,-3208,5839,1
-1200,-320,-249,1188,-3190,4930,1
-681,-18,-602,977,-2642,3886,1
-466,336,-712,539,-1562,2711,1
-534,531,-472,39,-411,1474,1
-896,584,-91,-368,801,274,1
-1673,536,226,-649,1529,-757,1
-2429,416,469,-830,1748,-1476,1
-2853,387,535,-970,1556,-1898,1
-3032,308,587,-1088,1006,-2097,1
-2915,226,556,-1201,412,-2157,1
-2653,135,579,-1276,-74,-2171,1
-2318,10,665,-1266,-385,-2206,1
-1999,-97,666,-1158,-531,-2297,1
-1621,-287,678,-975,-419,-2440,1
-1371,-433,548,-761,-160,-2623,1
-1118,-577,468,-548,220,-2824,1
-932,-782,389,-348,653,-3063,1
-909,-972,421,-163,905,-3318,1
-1008,-1139,447,7,1175,-3502,1
-1204,-1064,286,117,1322,-3570,1
-1548,-912,118,144,1268,-3478,1
-2085,-852,-145,103,1265,-3180,0
-2575,-989,-288,-8,1272,-2716,0
-2149,-1305,-290,-130,1165,-2226,0
-1567,-1525,-299,-235,874,-1875,0
-1030,-1664,-358,-312,521,-1689,0
-746,-1537,-430,-371,288,-1608,0
-611,-1865,-294,-391,576,-1543,0
-544,-1928,-125,-356,1348,-1468,0
-807,-2042,98,-288,1455,-1382,0
-1125,-2144,134,-220,1087,-1234,0
-1352,-2204,298,-132,415,-1033,0
-1379,-2215,413,-15,-4,-789,0
-1262,-2117,359,137,56,-543,0
-1237,-2043,154,290,149,-315,0
-1174,-2049,-137,378,-205,-121,0
-1092,-2073,-475,387,-876,33,0
-813,-2288,-377,308,-1402,148,0
-475,-2396,-300,227,-1381,223,0
-158,-2137,-290,215,-641,256,0
-430,-2160,-59,127,-83,284,0
-844,-2311,254,254,154,396,0
-966,-2007,-425,68,231,555,0
-1100,-2022,179,33,111,727,0
-1280,-1953,362,93,-264,926,0
-1456,-1942,438,279,-537,1163,0
-1564,-2085,166,239,-710,1407,0
-1630,-2350,338,265,-396,1620,0
-1449,-2179,375,338,-195,1736,0
-1226,-1901,399,412,-142,1718,0
-1160,-1660,341,474,-46,1603,0
-1191,-1520,225,522,4,1438,0
-1230,-1457,179,529,-82,1266,0
-1288,-1376,159,517,-171,1136,0
-1160,-1330,242,466,-33,1077,0
-1575,-1315,176,388,-13,1096,0
-1850,-1253,188,298,-56,1168,0
-1760,-1292,223,215,-236,1222,0
-1635,-1262,282,168,-301,1231,0
-1583,-1174,361,179,-197,1199,0
-1597,-1165,312,190,-86,1142,0
-1633,-1165,220,182,-60,1068,0
-1629,-1143,219,179,-91,985,0
-1659,-1170,266,156,-150,897,0
-1709,-1112,230,115,-238,823,0
-1726,-1064,164,54,-260,774,0
-1731,-1109,63,-34,-160,741,0
-1714,-1157,79,-124,-72,697,0
-1692,-1179,148,-188,-82,631,0
-1769,-1185,161,-230,-82,566,0
-1863,-1249,92,-275,-84,528,0
-1883,-1331,88,-323,26,493,0
-1886,-1418,117,-363,40,436,0
-1831,-1462,176,-387,46,355,0
-1763,-1507,163,-400,182,240,0
-1738,-1498,242,-384,393,84,0
-1816,-1411,273,-320,412,-111,0
-1918,-1418,158,-246,273,-312,0
-1947,-1538,79,-180,208,-492,0
-1977,-1757,127,-124,138,-650,0
-2011,-1834,169,-79,120,-787,0
-2120,-1862,99,-62,358,-903,0
-2226,-1941,91,-70,470,-1015,0
-2166,-1962,17,-128,366,-1158,0
-2026,-1988,64,-148,-47,-1356,0
-1770,-1946,162,-118,-153,-1581,0
-1712,-1867,95,-73,-84,-1814,0
-1631,-1918,-118,-63,-98,-2021,0
-1443,-1933,-3,-70,112,-2194,0
-1378,-1999,150,-16,247,-2350,0
-1399,-1993,52,15,318,-2475,0
-1293,-1959,5,8,260,-2592,0
-1169,-1958,34,4,154,-2699,0
-1073,-1965,51,13,143,-2770,0
-1007,-1946,40,27,209,-2787,0
-984,-1889,68,47,330,-2739,0
-1022,-1837,82,78,407,-2621,0
-1047,-1822,104,116,426,-2442,0
-1044,-1782,132,156,394,-2217,0
-976,-1728,134,193,324,-1966,0
-836,-1659,150,224,228,-1719,0
-625,-1562,124,251,87,-1493,0
-399,-1506,103,275,33,-1289,0
-160,-1437,65,302,94,-1103,0
2,-1324,36,328,237,-937,0
76,-1240,12,350,396,-778,0
13,-1195,-33,352,407,-592,0
42,-1140,-118,320,371,-351,0
103,-1086,-167,255,480,-60,0
31,-1003,-249,176,722,289,0
-407,-852,-294,81,825,717,1
-690,-893,-191,-27,762,1266,1
-969,-881,-63,-189,590,1965,1
-1363,-956,-9,-306,401,2771,1
-1824,-985,-68,-487,86,3667,1
-2127,-1022,-23,-649,-339,4606,1
-2244,-1187,137,-748,-774,5521,1
-2470,-1216,40,-715,-903,6371,1
-2710,-1165,16,-712,-1012,7129,1
-2524,-1156,-54,-690,-1055,7653,1
-2099,-1204,62,-624,-1034,7775,1
-1450,-1144,246,-467,-1181,7388,1
-1197,-767,372,-198,-1305,6610,1
-1021,-692,414,96,-1076,5571,1
-988,-459,405,371,-886,4293,1
-1105,-80,238,576,-614,2896,1
-1337,249,-143,603,-25,1530,1
-1883,511,-449,412,745,329,1
-2626,563,-497,48,1352,-601,1
-3176,456,-359,-371,1499,-1259,1
-3518,232,-89,-739,1170,-1695,1
-3576,81,172,-991,460,-1962,1
-3319,-132,395,-1101,-335,-2125,1
-2951,-221,582,-1061,-858,-2234,1
-2540,-314,622,-879,-1122,-2354,1
-2200,-376,588,-609,-1125,-2502,1
-1795,-456,443,-320,-900,-2678,1
-1538,-537,317,-63,-527,-2876,1
-1223,-603,267,137,-137,-3092,1
-1021,-761,236,265,247,-3318,1
-906,-848,45,308,615,-3486,1
-996,-866,-137,273,1079,-3485,1
-1387,-880,-207,217,1655,-3240,0
-1758,-948,-238,160,2290,-2772,0
-2254,-789,-326,114,2631,-2192,0
-2245,-416,-594,102,2262,-1649,0
-1559,-458,-74,52,1563,-1251,0
-1257,-755,506,207,1734,-960,0
-1430,-1094,485,443,1174,-733,0
-1521,-1367,100,600,376,-492,0
-1436,-1434,-54,636,-372,-252,0
-1511,-1323,44,631,-1263,-17,0
-1087,-1445,-8,611,-1875,183,0
-875,-1444,1,591,-1748,330,0
-985,-1339,72,577,-1446,466,0
-1007,-1333,82,567,-1237,608,0
-1056,-1363,68,552,-1009,738,0
-1099,-1406,83,540,-1010,862,0
-979,-1445,-35,526,-1052,969,0
-842,-1449,-150,480,-789,1042,0
-809,-1433,-139,400,-203,1080,0
-879,-1476,-129,280,382,1085,0
-984,-1590,-261,113,628,1071,0
-1154,-1631,-224,-65,683,1062,0
-1320,-1731,-115,-187,617,1120,0
-1593,-2008,-44,-273,11,1219,0
-1913,-2270,261,-280,-144,1397,0
-2007,-2107,646,-180,-259,1601,0
-2030,-1914,636,-8,-448,1807,0
-2092,-1828,324,143,-187,2033,0
-2095,-1906,212,268,189,2244,0
-2076,-2026,106,258,339,2399,0
-2099,-2151,153,270,600,2503,0
-2318,-2032,386,293,1192,2529,0
-1980,-1744,315,329,1845,2447,0
-1928,-1539,277,495,1891,2204,0
-1916,-1352,-98,455,1356,1884,0
-1849,-1400,69,357,467,1515,0
-1634,-1401,45,376,-810,1132,0
-1589,-1410,170,409,-973,813,0
-1715,-1378,239,444,-597,575,0
