AccelerometerX,AccelerometerY,AccelerometerZ,GyroscopeX,GyroscopeY,GyroscopeZ,Trigger
-515,-1070,597,-1305,-609,336,0
-640,-1007,744,-1467,-330,515,0
-727,-1298,528,-1614,15,720,0
-781,-1307,678,-1728,6,898,0
-890,-1435,748,-1792,-113,1044,0
-927,-1462,804,-1796,-630,1148,0
-821,-1485,833,-1750,-1219,1194,0
-640,-1469,881,-1660,-1637,1167,0
-327,-1430,877,-1542,-1615,1063,0
-84,-1348,757,-1435,-1247,875,0
-27,-1350,626,-1358,-789,650,0
-198,-1498,699,-1306,-395,440,0
-463,-1659,694,-1272,-205,286,0
-715,-1692,697,-1265,-113,212,0
-876,-1647,715,-1272,-207,201,0
-958,-1537,747,-1276,-356,237,0
-955,-1495,782,-1276,-494,300,0
-973,-1521,764,-1278,-587,379,0
-1082,-1665,590,-1311,-665,483,0
-1183,-1797,408,-1396,-892,614,0
-1039,-1931,380,-1495,-1053,758,0
-768,-2067,508,-1550,-836,872,0
-683,-2062,506,-1547,-327,929,0
-791,-1997,386,-1527,11,947,0
-891,-1932,329,-1502,-24,954,0
-917,-1930,411,-1460,37,952,0
-954,-1924,476,-1405,161,925,0
-1058,-1926,441,-1362,132,869,0
-1197,-1944,456,-1342,-204,802,0
-1186,-1956,478,-1317,-642,739,0
-985,-1955,396,-1275,-804,668,0
-904,-2010,325,-1214,-784,595,0
-930,-2034,316,-1122,-496,567,0
-1048,-2133,305,-998,-145,576,0
-1091,-2103,347,-857,413,592,0
-1307,-1950,477,-687,598,580,0
-1429,-1811,479,-517,439,549,0
-1390,-1755,469,-375,50,484,0
-1356,-1797,482,-267,-283,401,0
-1354,-1845,382,-195,-548,329,0
-1304,-1847,234,-179,-673,282,0
-1226,-1842,168,-198,-602,251,0
-1195,-1831,161,-223,-413,227,0
-1217,-1822,231,-238,-213,203,0
-1237,-1792,268,-235,-64,177,0
-1259,-1762,258,-224,-5,143,0
-1206,-1727,284,-209,-25,100,0
-1175,-1746,389,-176,-40,50,0
-1159,-1782,442,-125,-58,0,0
