AccelerometerX,AccelerometerY,AccelerometerZ,GyroscopeX,GyroscopeY,GyroscopeZ,Trigger
-1367,-1082,710,227,-367,23,0
-1481,-1118,614,224,-364,-51,0
-1503,-1161,595,217,-180,-100,0
-1398,-1159,532,213,-65,-159,0
-1292,-1203,466,208,156,-231,0
-1250,-1314,460,218,507,-293,0
-1404,-1346,553,250,932,-328,0
-1745,-1265,750,309,1167,-318,0
-2266,-1129,1070,445,1446,-189,0
-2395,-1209,758,570,1170,28,0
-1982,-1207,178,610,775,239,0
-2023,-1261,173,553,956,387,0
-1969,-1406,341,506,239,437,0
-1589,-1342,382,460,-542,373,0
-1162,-1270,348,400,-745,211,0
-1011,-1266,381,334,-396,-21,0
-1111,-1248,419,271,85,-267,0
-1324,-1222,462,211,393,-484,0
-1576,-1231,421,146,565,-638,0
-1902,-1272,375,66,514,-710,0
-2287,-1267,560,-10,243,-691,0
-2283,-1240,558,-53,63,-579,0
-1867,-1305,235,-130,-288,-493,0
-1773,-1245,269,-204,-471,-458,0
-1747,-1151,384,-224,-416,-436,0
-1641,-1241,508,-201,-296,-422,0
-1634,-1398,592,-155,-66,-417,0
-1620,-1542,714,-157,91,-434,0
-1618,-1498,684,-47,192,-490,0
-1441,-1417,737,3,439,-601,0
-1463,-1139,608,41,865,-743,0
-1688,-1420,483,53,865,-867,0
-1820,-1665,321,9,370,-949,0
-1691,-1561,453,-23,1,-992,0
-1568,-1440,529,7,156,-1020,0
-1573,-1433,532,65,481,-1048,0
-1697,-1445,560,128,605,-1067,0
-1781,-1476,533,171,494,-1073,0
-1781,-1495,586,189,294,-1082,0
-1646,-1486,675,214,101,-1115,0
-1560,-1428,678,249,56,-1170,0
-1606,-1372,585,275,92,-1215,0
-1669,-1406,493,264,50,-1231,0
-1595,-1432,460,219,18,-1233,0
-1474,-1417,488,161,47,-1251,0
-1291,-1443,495,112,160,-1297,0
-1196,-1456,602,106,350,-1368,0
-1239,-1451,586,158,610,-1431,0
