AccelerometerX,AccelerometerY,AccelerometerZ,GyroscopeX,GyroscopeY,GyroscopeZ,Trigger
-458,-1913,511,-49,-79,38,0
-453,-1937,499,-60,-98,28,0
-417,-1959,527,-65,-85,14,0
-379,-1963,541,-56,-39,-7,0
-371,-1959,540,-43,19,-32,0
-430,-1956,543,-29,40,-46,0
-463,-1976,540,-17,33,-44,0
-485,-1975,542,-9,19,-30,0
-506,-1975,544,-3,20,-9,0
-481,-1977,541,0,-3,7,0
-462,-1956,537,-2,-22,10,0
-440,-1944,524,-15,-28,5,0
-394,-1940,512,-39,-40,-6,0
-379,-1948,517,-67,-22,-25,0
-339,-1956,528,-89,-2,-52,0
-360,-1950,566,-95,24,-84,0
-391,-1971,589,-84,123,-108,0
-380,-1983,615,-64,204,-146,0
-407,-1982,635,-35,184,-196,0
-380,-2012,642,-4,138,-244,0
-333,-1973,575,13,197,-288,0
-351,-1935,527,5,273,-331,0
-377,-1971,472,-35,234,-371,0
-376,-1975,499,-85,128,-404,0
-398,-1960,520,-129,112,-418,0
-371,-1967,486,-170,148,-419,0
-292,-1966,478,-208,192,-427,0
-321,-2000,500,-231,308,-433,0
-317,-2004,530,-223,379,-446,0
-363,-1987,583,-190,372,-477,0
-431,-2007,623,-135,295,-505,0
-430,-1997,647,-71,162,-524,0
-450,-1974,629,-11,69,-528,0
-477,-1967,530,18,-33,-512,0
-450,-1963,492,18,-159,-478,0
-418,-1969,478,1,-219,-430,0
-353,-1973,444,-21,-240,-371,0
-323,-1940,397,-50,-175,-309,0
-331,-1944,371,-83,-105,-248,0
-317,-1958,403,-105,-46,-191,0
-303,-1970,464,-107,3,-150,0
-294,-1958,485,-92,-1,-129,0
-327,-1951,500,-71,-45,-117,0
-343,-1953,502,-47,-115,-103,0
-328,-1945,487,-29,-179,-82,0
-312,-1947,443,-21,-215,-63,0
-272,-1961,390,-37,-227,-48,0
-251,-1974,378,-66,-213,-35,0
-212,-1979,381,-95,-187,-31,0
-160,-1983,370,-121,-112,-41,0
-148,-1988,394,-137,-26,-61,0
-161,-1997,438,-134,41,-82,0
-196,-1992,464,-118,91,-99,0
-255,-1991,479,-94,96,-108,0
-274,-2011,470,-70,42,-111,0
-245,-1996,460,-45,-25,-116,0
-202,-1991,436,-27,-47,-125,0
-208,-1976,413,-18,-59,-131,0
-201,-1992,404,-21,-70,-128,0
-163,-1992,377,-34,-61,-127,0
-156,-1989,364,-50,-34,-128,0
-152,-2002,402,-57,-4,-126,0
-159,-2008,425,-56,53,-119,0
-158,-2001,442,-47,82,-115,0
-183,-2008,477,-34,90,-110,0
-173,-2012,509,-10,81,-110,0
-177,-2013,485,15,58,-112,0
-166,-2026,454,32,33,-114,0
-141,-2008,438,40,13,-110,0
-132,-1994,423,39,7,-103,0
-104,-2007,393,28,7,-96,0
-60,-2009,388,4,35,-97,0
-58,-2014,381,-26,86,-103,0
-23,-2005,356,-61,155,-115,0
-21,-2010,355,-98,235,-133,0
-67,-2002,372,-132,312,-142,0
-95,-2022,415,-154,339,-140,0
-154,-2030,475,-158,356,-122,0
-194,-2046,493,-150,337,-90,0
-191,-2093,480,-143,258,-52,0
-125,-2096,468,-139,259,-10,0
-69,-2056,421,-150,314,18,0
9,-2037,357,-187,390,28,1
316,-2111,370,-251,460,14,1
161,-2071,243,-329,508,-8,1
259,-1998,179,-418,584,-25,1
393,-1980,155,-517,668,-39,1
520,-1968,169,-629,865,-47,1
633,-1875,75,-752,1041,-45,1
756,-1693,-7,-894,1156,-35,1
935,-1661,-60,-1046,1303,2,1
1116,-1676,102,-1154,1569,95,1
1110,-1403,170,-1197,1795,240,1
875,-1458,183,-1203,2011,501,1
561,-1293,250,-1211,2029,902,1
322,-1193,292,-1221,1840,1404,1
73,-1184,311,-1243,1508,1998,1
-133,-1100,324,-1277,1147,2667,1
-273,-1094,303,-1307,862,3384,1
-557,-1142,283,-1328,598,4113,1
-908,-1248,279,-1325,238,4849,1
-1088,-1365,353,-1246,-69,5558,1
-1186,-1472,564,-1037,-497,6160,1
-1320,-1536,595,-687,-1027,6636,1
-1813,-1576,566,-284,-1553,7062,1
-2244,-1639,400,111,-2188,7467,1
-2628,-1448,164,449,-3043,7826,1
-3132,-1454,-7,714,-3920,8208,1
-3237,-1475,-250,881,-4640,8576,1
-3009,-1497,-481,979,-5092,8741,1
-2007,-1346,-481,1104,-5204,8479,1
-911,-960,-443,1233,-4257,7653,1
-76,-363,-321,1275,-2846,6266,1
-42,320,-259,1154,-1074,4571,1
-393,1165,-111,902,1149,2832,1
-1429,1394,-72,573,3548,1135,1
-2813,1306,-46,165,4866,-418,1
-4258,907,384,-213,4800,-1688,1
-5309,617,609,-469,3380,-2633,1
-5399,195,667,-668,1531,-3279,1
-4855,-55,635,-813,-127,-3736,1
-3855,-355,609,-830,-1217,-4202,1
-2908,-435,412,-735,-1862,-4781,1
-2199,-555,187,-597,-1950,-5390,1
-1790,-775,-168,-483,-1391,-5875,1
-1535,-867,-184,-366,-451,-6146,1
-1352,-995,-124,-171,602,-6243,1
-1357,-1181,-1,88,1337,-6178,1
-1468,-1221,143,348,1751,-5946,1
-1775,-1157,26,512,1682,-5535,1
-2067,-1137,-24,508,1349,-4887,1
-2109,-1095,74,400,1050,-4056,1
-1982,-1237,-34,270,733,-3157,1
-1652,-1344,-14,171,361,-2288,0
-936,-1612,313,176,238,-1539,0
-708,-1510,362,312,-67,-1021,0
-545,-1610,448,517,-489,-742,0
-260,-1684,499,729,-826,-605,0
-236,-1610,179,857,-782,-543,0
-357,-1580,-103,848,-860,-444,0
-189,-1611,-87,769,-778,-309,0
-50,-1772,-10,692,-443,-166,0
-36,-1945,-29,601,21,-28,0
-175,-1960,75,497,438,111,0
-275,-1882,119,376,656,240,0
-341,-1827,172,238,667,345,0
-475,-1843,292,102,613,434,0
-668,-1909,440,2,440,515,0
-807,-1959,506,-55,118,577,0
-803,-2042,475,-82,-263,598,0
-608,-2095,438,-92,-597,548,0
-438,-2108,274,-103,-630,445,0
-283,-2163,167,-136,-336,322,0
-248,-2217,180,-171,175,204,0
-389,-2249,313,-173,675,110,0
-637,-2218,424,-142,995,52,0
-878,-2139,514,-96,1075,32,0
-1041,-2061,544,-54,923,40,0
-1124,-2024,579,-30,689,78,0
-1188,-1985,611,-18,489,141,0
-1270,-1941,555,-24,311,226,0
-1298,-1928,513,-43,101,322,0
-1244,-1920,488,-58,-56,412,0
-1114,-1919,467,-61,-116,469,0
-1008,-1892,451,-54,-98,475,0
-890,-1883,449,-36,-46,436,0
-853,-1882,506,-7,43,358,0
-941,-1866,514,32,122,263,0
-1080,-1853,533,78,67,179,0
-1165,-1865,516,131,-74,116,0
-1160,-1895,550,190,-223,67,0
-1145,-1892,511,254,-318,16,0
-1206,-1865,435,305,-398,-20,0
-1195,-1848,356,333,-488,-35,0
-1135,-1820,295,331,-507,-36,0
-1100,-1805,269,303,-389,-27,0
-1086,-1789,220,252,-235,-17,0
-1066,-1763,194,176,-126,-13,0
-1058,-1737,244,97,-79,-29,0
-1056,-1707,248,28,-109,-59,0
-1102,-1695,295,-29,-183,-88,0
-1129,-1719,332,-64,-206,-104,0
-1110,-1740,359,-81,-170,-121,0
-1074,-1710,343,-78,-146,-148,0
-1104,-1696,314,-66,-126,-170,0
-1151,-1726,345,-51,-77,-174,0
-1147,-1742,345,-36,-51,-170,0
-1121,-1712,314,-30,-64,-169,0
-1131,-1702,313,-30,-54,-158,0
-1148,-1733,311,-34,-27,-137,0
-1150,-1729,300,-44,-71,-110,0
-1103,-1713,287,-54,-127,-89,0
-1050,-1724,278,-63,-127,-79,0
-1049,-1729,256,-70,-133,-81,0
-1062,-1733,245,-80,-127,-86,0
-1010,-1752,224,-90,-109,-99,0
-998,-1738,262,-91,-70,-121,0
-1032,-1731,236,-87,-55,-140,0
-1047,-1748,246,-84,-88,-152,0
-1039,-1753,281,-74,-107,-157,0
-1028,-1745,277,-61,-93,-156,0
-1046,-1741,269,-49,-79,-145,0
-1067,-1767,310,-36,-54,-118,0
-1058,-1773,308,-20,-31,-85,0
