AccelerometerX,AccelerometerY,AccelerometerZ,GyroscopeX,GyroscopeY,GyroscopeZ,Trigger
-1384,-1518,101,41,-16,-21,0
-1379,-1504,91,33,-29,-15,0
-1379,-1507,65,19,-24,-4,0
-1366,-1513,55,1,-25,5,0
-1337,-1511,62,-17,-18,10,0
-1326,-1507,77,-27,6,9,0
-1368,-1517,80,-31,39,14,0
-1404,-1539,86,-30,58,26,0
-1395,-1541,112,-21,11,32,0
-1370,-1515,117,-6,-22,24,0
-1346,-1514,101,6,-30,8,0
-1334,-1519,82,10,-39,-7,0
-1349,-1515,65,5,-21,-14,0
-1384,-1524,56,-6,36,-7,0
-1383,-1534,66,-16,36,0,0
-1373,-1516,88,-20,11,-1,0
-1360,-1503,87,-17,2,-5,0
-1356,-1512,82,-13,-12,-9,0
-1384,-1519,70,-12,-11,-3,0
-1406,-1522,58,-14,10,17,0
-1396,-1530,66,-16,7,33,0
-1362,-1524,81,-14,-13,37,0
-1344,-1504,84,-6,-26,25,0
-1347,-1505,79,4,-27,13,0
-1368,-1522,66,13,-22,9,0
-1371,-1528,66,17,-18,13,0
-1358,-1526,62,17,-16,17,0
-1364,-1524,60,16,1,19,0
-1365,-1541,63,17,15,19,0
-1374,-1555,95,27,11,13,0
-1399,-1541,103,49,-11,7,0
-1391,-1533,92,75,-40,-1,0
-1371,-1542,84,93,-70,-10,0
-1372,-1539,62,101,-68,-17,0
-1377,-1535,45,95,-50,-18,0
-1368,-1529,34,79,-47,-17,0
-1356,-1525,34,56,-38,-13,0
-1343,-1523,42,29,-4,-8,0
-1339,-1540,57,10,46,-2,0
-1349,-1538,86,8,84,1,0
-1384,-1521,115,23,85,6,0
-1404,-1520,118,48,61,12,0
-1417,-1538,122,70,16,21,0
-1413,-1541,116,85,-45,30,0
-1397,-1528,93,89,-88,40,0
-1376,-1527,74,82,-89,48,0
-1368,-1532,76,73,-101,49,0
-1340,-1515,69,59,-90,47,0
-1301,-1533,47,39,-28,39,0
-1263,-1561,51,19,118,29,0
-1331,-1549,54,4,225,26,0
-1403,-1538,85,7,241,33,0
-1462,-1542,133,28,174,49,0
-1476,-1534,139,60,56,71,0
-1494,-1541,164,86,-20,100,0
-1506,-1563,141,102,-103,135,0
-1491,-1578,129,104,-173,172,0
-1397,-1614,134,101,-175,194,0
-1381,-1614,83,99,-77,205,0
-1283,-1626,81,90,3,201,0
-1350,-1584,33,87,140,193,0
-1418,-1606,22,78,266,200,0
-1493,-1679,-2,65,228,213,0
-1529,-1740,32,48,143,230,0
-1566,-1830,78,40,68,244,0
-1537,-1883,116,32,6,239,0
-1454,-1901,152,35,-60,205,0
-1334,-1890,102,45,-31,143,0
-1331,-1944,105,59,114,80,0
-1466,-2053,134,84,239,50,0
-1660,-2122,139,114,284,65,0
-1774,-2112,104,132,181,107,0
-1775,-2071,112,143,-10,150,0
-1708,-2049,150,148,-145,182,0
-1653,-2023,137,142,-135,207,0
-1673,-1929,71,111,-107,231,0
-1800,-1679,66,68,46,300,0
-1533,-1805,-66,-3,-42,347,0
-1538,-1795,151,-72,-453,342,0
-1481,-1605,199,-98,-624,346,0
-1399,-1472,199,-107,-638,350,0
-1417,-1492,159,-118,-696,369,0
-1397,-1542,123,-139,-779,411,0
-1362,-1632,185,-158,-687,465,0
-1381,-1608,144,-162,-495,517,0
-1464,-1452,145,-163,-362,561,0
-1448,-1241,120,-148,-378,602,0
-1332,-1058,109,-119,-415,635,0
-1276,-1032,230,-64,-322,681,0
-1346,-1078,378,31,-128,754,0
-1609,-1125,471,150,-328,873,0
-1821,-1045,441,268,-703,1052,0
-1762,-853,313,371,-1176,1247,0
-1612,-725,204,434,-1508,1423,0
-1418,-737,80,456,-1690,1576,0
-1287,-844,71,429,-1751,1689,0
-964,-868,-1,379,-1536,1767,0
-939,-603,104,328,-829,1813,0
-765,-695,25,291,-274,1837,0
-819,-714,120,254,-46,1795,0
-975,-610,245,248,81,1723,0
-1315,-463,341,263,137,1659,0
-1499,-320,314,274,262,1667,0
-1360,-505,177,235,-239,1650,0
-1416,-555,212,183,-807,1625,0
-1519,-522,247,136,-935,1655,0
-1662,-624,206,90,-970,1742,0
-1740,-557,71,40,-1005,1847,0
-1838,-636,380,24,-925,1940,0
-2053,-503,414,55,-854,1981,0
-2051,-417,530,116,-12,2074,0
-1761,-564,576,161,-189,2029,0
-1802,-733,613,233,-534,1907,0
-1923,-526,662,342,-1096,1756,0
-2029,-544,581,419,-817,1638,0
-1960,-534,666,475,-652,1498,0
-1943,-592,545,496,-580,1352,0
-1744,-690,480,468,-301,1200,0
-1591,-741,495,409,-52,1019,0
-1566,-699,429,343,201,825,0
-1557,-633,382,263,770,641,0
-1620,-548,436,195,1097,449,0
-1857,-502,508,153,1143,263,0
-2180,-404,525,135,804,103,0
-2387,-311,551,126,194,-12,0
-2318,-324,597,130,-439,-97,0
-2169,-382,630,141,-850,-165,0
-2007,-404,573,153,-994,-221,0
-1894,-373,602,159,-896,-259,0
-1858,-385,586,165,-518,-271,0
-1841,-435,564,166,-116,-274,0
-1785,-506,514,154,134,-289,0
-1841,-576,550,136,355,-296,0
-1853,-607,476,115,476,-304,0
-1945,-564,454,76,356,-319,0
-2077,-459,619,40,183,-303,0
-2180,-406,651,17,49,-251,0
-2265,-415,547,-21,-182,-168,0
-2196,-441,492,-73,-462,-74,0
-2036,-458,449,-127,-584,6,0
-1862,-466,464,-165,-465,64,0
-1814,-461,548,-169,-224,100,0
-1850,-461,612,-144,-39,115,0
-1876,-481,603,-108,37,103,0
-2007,-348,595,-81,14,78,0
-2113,-218,595,-63,60,82,0
-2026,-419,577,-61,-97,68,0
-1993,-657,658,-57,-301,44,0
-1979,-721,644,-53,-486,21,0
-1968,-639,578,-66,-578,9,0
-1984,-387,566,-82,-498,24,0
-1936,-324,553,-94,-432,39,0
-1942,-460,643,-99,-387,57,0
-1931,-491,686,-93,-316,74,0
-1878,-438,632,-92,-247,86,0
-1824,-427,594,-101,-157,83,0
-1941,-155,618,-102,46,95,0
-1740,-562,681,-95,31,90,0
-1913,-548,735,-75,-18,85,0
-1897,-552,657,-63,-126,100,0
-1903,-448,635,-50,-172,117,0
-1845,-433,639,-25,-169,123,0
-1839,-477,644,15,-136,125,0
-1811,-503,646,58,-108,126,0
-1797,-487,683,101,-54,122,0
-1832,-454,683,141,-27,124,0
-1968,-325,712,175,-27,140,0
-1922,-284,701,209,62,186,0
-2006,-461,739,228,-174,206,0
-1843,-657,546,219,-253,246,0
-1780,-602,603,181,-364,246,0
-1690,-332,536,144,-192,236,0
-1730,-386,643,121,-28,212,0
-1797,-451,653,121,13,191,0
-1820,-396,693,126,5,181,0
-1832,-373,692,139,7,180,0
-1861,-409,694,148,24,193,0
-1872,-412,711,161,50,216,0
-1914,-392,731,180,91,241,0
-1924,-389,698,193,112,264,0
-2080,133,566,198,371,312,0
-1972,-340,583,179,244,336,0
-2073,-557,634,150,4,361,0
-1969,-627,625,79,-247,396,0
-1900,-514,645,9,-188,414,0
-1845,-311,309,-110,-169,397,0
-1916,-362,854,-77,123,350,1
-1385,-854,730,44,450,247,1
-1613,-1038,650,156,523,69,1
-1957,-624,578,253,991,-64,1
-2455,-1069,541,290,1211,-167,1
-3047,-1329,476,231,1295,-241,1
-3401,-1822,601,94,1151,-361,1
-3819,-1799,612,75,1016,-569,1
-4250,-2020,790,124,838,-806,1
-4447,-2038,887,254,561,-1052,1
-4522,-1993,832,384,382,-1317,1
-4539,-1904,684,423,305,-1602,1
-4535,-1710,629,340,328,-1926,1
-4418,-1542,584,160,358,-2286,1
-4162,-1353,624,-68,471,-2670,1
-4029,-1198,719,-284,629,-3037,1
-3867,-1027,847,-440,708,-3357,1
-3718,-881,958,-513,705,-3606,1
-3456,-705,996,-516,616,-3779,1
-3110,-553,939,-480,567,-3883,1
-2764,-450,882,-434,500,-3926,1
-2427,-293,854,-379,464,-3903,1
-2112,-112,819,-312,434,-3834,1
-2028,-29,848,-242,318,-3684,1
-1893,183,860,-176,119,-3431,1
-1608,339,834,-127,-140,-3132,1
-1332,443,709,-130,-342,-2819,1
-950,549,604,-203,-472,-2522,1
-566,611,424,-337,-500,-2271,1
-173,639,415,-501,-454,-2072,1
81,568,492,-625,-341,-1921,1
284,564,490,-696,-188,-1787,1
346,513,537,-719,-57,-1636,1
325,506,506,-752,48,-1440,1
327,489,483,-817,35,-1195,1
333,472,515,-892,-19,-906,1
330,443,517,-961,-84,-577,1
299,371,559,-1025,-155,-223,1
225,337,614,-1069,-260,148,1
224,269,658,-1104,-348,516,1
159,158,714,-1131,-428,877,1
131,70,799,-1136,-531,1203,1
76,-23,888,-1109,-673,1477,1
-1,-98,906,-1075,-822,1707,1
-105,-155,846,-1077,-956,1898,1
-219,-218,684,-1152,-1088,2060,1
-259,-238,542,-1284,-1141,2184,1
-404,-280,447,-1441,-1116,2292,1
-609,-342,494,-1572,-1083,2430,1
-848,-507,517,-1646,-1032,2593,1
-1275,-768,381,-1713,-1063,2792,1
-1474,-991,263,-1768,-1190,2972,1
-1679,-1221,52,-1788,-1260,3066,1
-1943,-1431,-124,-1760,-1412,3066,1
-2110,-1577,-258,-1663,-1440,3006,1
-2338,-1609,-388,-1491,-1324,2909,1
-2525,-1618,-521,-1290,-1089,2770,1
-2770,-1618,-695,-1124,-778,2565,1
-3038,-1612,-900,-1031,-497,2299,1
-3231,-1565,-933,-958,-266,1950,1
-3441,-1530,-942,-848,-147,1534,1
-3767,-1480,-848,-668,-87,1137,1
-4177,-1379,-881,-428,-291,845,1
-4295,-1236,-933,-162,-565,694,1
-4137,-1175,-1109,68,-768,605,1
-3795,-1137,-1296,217,-785,475,1
-3433,-1076,-1458,292,-674,253,1
-3097,-1050,-1492,335,-487,-47,1
-2863,-998,-1413,421,-281,-368,1
-2727,-937,-1314,592,-136,-638,1
-2508,-857,-1267,828,-22,-811,1
-2394,-823,-1258,1089,129,-896,1
-2302,-806,-1278,1341,143,-897,1
-2114,-777,-1322,1577,142,-842,1
-1963,-818,-1377,1793,202,-751,1
-1844,-831,-1443,1985,290,-647,1
-1753,-816,-1508,2157,386,-560,1
-1610,-831,-1510,2316,482,-506,1
-1523,-840,-1308,2513,575,-483,1
-1511,-840,-1073,2774,669,-465,1
-1452,-820,-800,3102,752,-451,1
-1451,-817,-546,3460,831,-448,1
-1461,-864,-477,3765,927,-434,1
-1329,-811,-382,3962,999,-448,1
-1202,-780,-263,4034,1211,-488,1
-1225,-600,-18,3995,1492,-521,1
-1449,-404,524,3906,1737,-510,1
-1963,-270,1074,3791,1643,-395,1
-2366,28,1699,3661,1314,-152,1
-2734,279,2155,3507,877,166,1
-2649,521,2410,3286,360,429,1
-2147,809,2358,2940,261,495,1
-1724,886,2129,2410,675,331,1
-1690,861,1983,1721,1227,29,1
-1903,732,2015,1000,1569,-296,1
-2315,511,2164,397,1624,-524,1
-2529,257,2320,-4,1352,-619,1
-2479,40,2247,-223,839,-640,1
-2147,-161,2000,-324,401,-651,1
-1770,-355,1731,-357,240,-699,1
-1338,-457,1307,-358,341,-806,1
-1309,-517,1051,-360,738,-913,0
-1384,-614,849,-363,1089,-963,0
-1854,-350,588,-348,635,-970,0
-1614,-670,904,-292,-203,-881,0
-1629,-479,592,-148,318,-619,0
-1973,-733,1238,21,1279,-247,0
-2363,-954,706,154,5,66,0
-2261,-1124,635,158,-1321,394,0
-1746,-909,508,75,-1596,632,0
-1275,-611,356,-84,-1063,750,0
-1160,-523,167,-310,-272,781,0
-1158,-335,5,-574,370,778,0
-1169,-265,-144,-834,661,755,0
-1162,-317,-217,-1063,629,714,0
-1187,-466,-156,-1241,374,670,0
-1258,-639,0,-1355,70,632,0
-1378,-768,214,-1398,-200,606,0
-1526,-859,415,-1365,-324,603,0
-1578,-941,575,-1280,-469,614,0
-1687,-1008,520,-1162,-512,631,0
-1949,-984,649,-1003,-129,673,0
-1979,-774,613,-823,715,800,0
-1806,-738,421,-676,1125,874,0
-2105,-876,176,-575,652,892,0
-2033,-794,130,-497,-16,909,0
-2026,-737,48,-436,-510,924,0
-2035,-732,103,-390,-767,947,0
-1984,-794,151,-341,-777,959,0
