AccelerometerX,AccelerometerY,AccelerometerZ,GyroscopeX,GyroscopeY,GyroscopeZ,Trigger
-593,780,-1740,863,211,236,0
-633,755,-1776,878,200,214,0
-698,825,-1848,876,103,180,0
-725,875,-1890,853,-81,147,0
-658,801,-1906,818,-178,108,0
-618,748,-1918,771,-167,64,0
-573,732,-1966,708,-49,29,0
-551,719,-1966,636,109,4,0
-523,706,-1943,562,309,-6,0
-514,672,-1935,492,543,-2,0
-550,617,-1949,420,771,21,0
-564,584,-1928,354,893,49,0
-626,557,-1876,310,962,72,0
-704,616,-1812,301,856,91,0
-800,663,-1723,330,580,107,0
-850,646,-1673,390,197,129,0
-742,626,-1652,456,-117,146,0
-619,606,-1708,515,-307,144,0
-534,566,-1811,544,-416,127,0
-408,505,-1812,550,-405,102,0
-421,395,-1831,539,-326,96,0
-699,359,-1817,521,-238,185,0
-675,557,-1773,513,-64,323,0
-621,703,-1832,507,23,436,0
-627,794,-1835,492,3,511,1
-493,717,-1942,451,-85,561,1
-703,609,-1995,360,-63,617,1
-568,691,-1980,253,-15,690,1
-336,808,-1960,158,-19,701,1
-161,765,-1937,89,19,672,1
-236,756,-1904,42,80,667,1
-292,826,-1763,43,180,731,1
-359,853,-1731,79,265,840,1
-407,863,-1777,113,223,971,1
-310,921,-1779,141,122,1104,1
-159,1000,-1793,171,-53,1190,1
-61,1027,-1769,216,-263,1247,1
9,1021,-1742,280,-472,1305,1
31,1050,-1686,374,-619,1398,1
-42,1051,-1618,506,-670,1565,1
29,1059,-1700,639,-601,1784,1
214,1122,-1951,721,-407,1994,1
298,1161,-2105,740,-209,2156,1
400,1155,-2300,707,76,2283,1
306,1160,-2326,647,352,2415,1
143,1135,-2177,625,549,2584,1
-12,1039,-2069,657,695,2781,1
-30,959,-1945,747,690,2963,1
169,886,-1931,893,646,3052,1
505,665,-1977,1075,791,2995,1
725,544,-2118,1276,1131,2811,1
396,606,-2151,1514,1438,2641,1
-73,719,-2075,1808,1581,2657,1
-541,786,-2234,2105,1653,2898,1
-445,689,-2376,2321,1788,3247,1
-13,589,-2454,2440,2008,3479,1
269,496,-2432,2489,2241,3505,1
295,370,-2382,2505,2271,3397,1
-44,289,-2148,2566,2095,3315,1
-110,423,-1969,2731,1774,3292,1
58,80,-2048,2922,1572,3239,1
238,-21,-2327,3064,1293,3132,1
314,82,-2355,3190,1109,3021,1
